Antigua and Barbuda,Nutritional deficiencies,4.16226783
Antigua and Barbuda,Neoplasms,7.06522503
Antigua and Barbuda,Respiratory infections and tuberculosis,14.03344485
Antigua and Barbuda,Unintentional injuries,16.013102
Antigua and Barbuda,Other non-communicable diseases,16.29209114
Argentina,Neglected tropical diseases and malaria,0.120990168
Argentina,Skin and subcutaneous diseases,0.137309392
Argentina,Diabetes and kidney diseases,0.573875509
Argentina,Maternal and neonatal disorders,0.59881313
Argentina,Neurological disorders,0.683256864
Argentina,HIV/AIDS and sexually transmitted infections,0.730618661
Argentina,Self-harm and interpersonal violence,0.75776724
Argentina,Chronic respiratory diseases,0.957587658
Argentina,Nutritional deficiencies,0.995773347
Argentina,Digestive diseases,1.1342696
Argentina,Enteric infections,1.392486242
Argentina,Cardiovascular diseases,1.736629024
Argentina,Other infectious diseases,2.176375284
Argentina,Transport injuries,3.063866363
Argentina,Respiratory infections and tuberculosis,4.001908647
Argentina,Neoplasms,4.444726932
Argentina,Other non-communicable diseases,8.486439599
Argentina,Unintentional injuries,9.377311984
Armenia,Nutritional deficiencies,0.014095096
Armenia,Skin and subcutaneous diseases,0.016872106
Armenia,Chronic respiratory diseases,0.115339582
Armenia,Self-harm and interpersonal violence,0.158353688
Armenia,Maternal and neonatal disorders,0.172221247
Armenia,Neglected tropical diseases and malaria,0.173704595
Armenia,Cardiovascular diseases,0.175837265
Armenia,HIV/AIDS and sexually transmitted infections,0.192781444
Armenia,Diabetes and kidney diseases,0.313723312
Armenia,Neurological disorders,0.620666126
Armenia,Transport injuries,0.947949865
Armenia,Enteric infections,0.981806791
Armenia,Digestive diseases,1.20043304
Armenia,Other infectious diseases,1.45002663
Armenia,Neoplasms,4.381332402
Armenia,Unintentional injuries,6.188579891
Armenia,Other non-communicable diseases,8.556060564
Armenia,Respiratory infections and tuberculosis,9.191554952
Australia,Neglected tropical diseases and malaria,0.006123702
Australia,Skin and subcutaneous diseases,0.020532073
Australia,Nutritional deficiencies,0.021637311
Australia,HIV/AIDS and sexually transmitted infections,0.041477357
Australia,Diabetes and kidney diseases,0.094085093
Australia,Chronic respiratory diseases,0.206164829
Australia,Enteric infections,0.225323551
Australia,Digestive diseases,0.255618853
Australia,Cardiovascular diseases,0.362684004
Australia,Maternal and neonatal disorders,0.46053492
Australia,Self-harm and interpersonal violence,0.630644418
Australia,Other infectious diseases,0.701476263
Australia,Respiratory infections and tuberculosis,0.789843613
Australia,Neurological disorders,0.869156879
Australia,Transport injuries,1.93035479
Australia,Neoplasms,2.625612683
Australia,Other non-communicable diseases,3.228262854
Australia,Unintentional injuries,3.74491685
Austria,Nutritional deficiencies,0.008288239
Austria,Skin and subcutaneous diseases,0.008771598
Austria,Neglected tropical diseases and malaria,0.015831312
Austria,HIV/AIDS and sexually transmitted infections,0.077012446
Austria,Diabetes and kidney diseases,0.117952568
Austria,Chronic respiratory diseases,0.130633908
Austria,Enteric infections,0.227134202
